store,websites,attribute_set,type,category_ids,sku,has_options,price,special_price,weight,minimal_price,msrp,name,meta_title,meta_description,image,small_image,thumbnail,gallery,url_key,url_path,options_container,image_label,small_image_label,thumbnail_label,msrp_enabled,msrp_display_actual_price_type,status,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,gift_wrapping_price,custom_design,page_layout,country_of_manufacture,gift_message_available,gift_wrapping_available,is_recurring
admin,base,Default,simple,4,GOUR0085-02,0,18,,110,,,Pu'Erh Strawberry Cr̬me (100 gr),,,,,,,puerh-strawberry-creme,puerh-strawberry-creme-466.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:10,0,1,0,1,1,1,0,1,0,0,1,1,Pu'Erh Strawberry Cr̬me (100 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0085-03,0,32.4,,220,,,Pu'Erh Strawberry Cr̬me (200 gr) -10% Off,,,,,,,puerh-strawberry-creme,puerh-strawberry-creme-467.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:12,0,1,0,1,1,1,0,1,0,0,1,1,Pu'Erh Strawberry Cr̬me (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0086,0,,,,,,Silk Road Caravan Black Tea,,,,,,,silk-road-caravan,silk-road-caravan.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Silk Road Caravan Black Tea,0,grouped,,,,,,,,,
admin,base,Default,simple,4,GOUR0086-01,0,9,,50,,,Silk Road Caravan (50 gr),,,,,,,silk-road-caravan,silk-road-caravan-469.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:15,0,1,0,1,1,1,0,1,0,0,1,1,Silk Road Caravan (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0086-02,0,18,,110,,,Silk Road Caravan (100 gr),,,,,,,silk-road-caravan,silk-road-caravan-470.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:17,0,1,0,1,1,1,0,1,0,0,1,1,Silk Road Caravan (100 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0086-03,0,32.4,,220,,,Silk Road Caravan (200 gr) -10% Off,,,,,,,silk-road-caravan,silk-road-caravan-471.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:18,0,1,0,1,1,1,0,1,0,0,1,1,Silk Road Caravan (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0087,0,,,,,,Strawberry Garden Black Tea,,,,,,,strawberry-garden,strawberry-garden.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Strawberry Garden Black Tea,0,grouped,,,,,,,,,
admin,base,Default,simple,4,GOUR0087-01,0,9,,50,,,Strawberry Garden (50 gr),,,,,,,strawberry-garden,strawberry-garden-473.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:21,0,1,0,1,1,1,0,1,0,0,1,1,Strawberry Garden (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0087-02,0,18,,110,,,Strawberry Garden (100 gr),,,,,,,strawberry-garden,strawberry-garden-474.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:23,0,1,0,1,1,1,0,1,0,0,1,1,Strawberry Garden (100 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0087-03,0,32.4,,220,,,Strawberry Garden (200 gr) -10% Off,,,,,,,strawberry-garden,strawberry-garden-475.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:25,0,1,0,1,1,1,0,1,0,0,1,1,Strawberry Garden (200 gr) -10% Off,0,simple,,,,,,,,,
admin,base,Default,grouped,4,GOUR0088,0,,,,,,Singapore Breakfast Blend Black Tea,,,,,,,singapore-breakfast-blend,singapore-breakfast-blend.html,Block after Info Column,/,/,/,,,Disabled,"Catalog, Search",,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,Singapore Breakfast Blend Black Tea,0,grouped,,,,,,,,,
admin,base,Default,simple,4,MISSING,0,9,,50,,,Strawberry Garden (50 gr),,,,,,,strawberry-garden,strawberry-garden-477.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:28,0,1,0,1,1,1,0,1,0,0,1,1,Strawberry Garden (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0088-01,0,9,,50,,,Singapore Breakfast Blend (50 gr),,,,,,,singapore-breakfast-blend,singapore-breakfast-blend-478.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,2015-02-24 00:00:00,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:29,0,1,0,1,1,1,0,1,0,0,1,1,Singapore Breakfast Blend (50 gr),0,simple,,,,,,,,,
admin,base,Default,simple,4,GOUR0088-02,0,18,,110,,,Singapore Breakfast Blend (100 gr),,,,,,,singapore-breakfast-blend,singapore-breakfast-blend-479.html,Block after Info Column,/,/,/,Use config,Use config,Disabled,Not Visible Individually,Taxable Goods,test description,test description,,,,,,,,,0,0,1,0,0,1,1,1,0,1,0,2015-04-27 03:44:31,0,1,0,1,1,1,0,1,0,0,1,1,Singapore Breakfast Blend (100 gr),0,simple,,,,,,,,,
